text,innovation_required,innovation_type,predicted_type,prediction_confidence,top1_category,top1_confidence,top2_category,top2_confidence,type_margin,correct,confidence_band,margin_band
"Almora, Uttarakhand क्षेत्र में water conservation से जुड़ी समस्या सामने आई है। commuters बताते हैं कि सेवा changes sharply by season और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और strengthen community reporting है।",True,PROCESS_INNOVATION,RESEARCH_REQUIRED,0.7629997775243501,RESEARCH_REQUIRED,0.7629997775243501,PROCESS_INNOVATION,0.12666586109965292,0.6363339164246972,False,0.70-0.80,0.40+
"Pauri Garhwal, Uttarakhand ke rural context mein structural deterioration ka issue report hua hai. Local employers bolte hain ki service fails intermittently hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially winter months ke time. First step reorganize collection or service routes hona chahiye.",True,PROCESS_INNOVATION,ENGINEERING,0.705008426366413,ENGINEERING,0.705008426366413,PROCESS_INNOVATION,0.20256645521409775,0.5024419711523153,False,0.70-0.80,0.40+
"Almora, Uttarakhand क्षेत्र में roads से जुड़ी समस्या सामने आई है। field technicians बताते हैं कि सेवा returns after temporary fixes और low network connectivity के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और pilot a monitoring process है।",True,ENGINEERING,PROCESS_INNOVATION,0.6833687599193626,PROCESS_INNOVATION,0.6833687599193626,ENGINEERING,0.16669829723886406,0.5166704626804985,False,0.60-0.70,0.40+
"A community report describes teacher shortages in Champawat, Uttarakhand. School staff say the service lacks timely status information, particularly during ordinary operating days. The operating context is affected by incomplete inventories, which can result in longer waiting times. The immediate task is to reorganize collection or service routes and verify the outcome.",True,RESEARCH_REQUIRED,ENGINEERING,0.6651678792515203,ENGINEERING,0.6651678792515203,PROCESS_INNOVATION,0.1897781515841349,0.4753897276673854,False,0.60-0.70,0.40+
"Tehri Garhwal, Uttarakhand क्षेत्र में accessibility से जुड़ी समस्या सामने आई है। commuters बताते हैं कि सेवा changes sharply by season और variable resource availability के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और establish a clearer escalation path है।",True,ENGINEERING,RESEARCH_REQUIRED,0.6508656781600578,RESEARCH_REQUIRED,0.6508656781600578,ENGINEERING,0.22236110176686727,0.4285045763931905,False,0.60-0.70,0.40+
"Tehri Garhwal, Uttarakhand ke tourism-heavy context mein parking ka issue report hua hai. Students bolte hain ki service creates repeated delays hai, aur paper-heavy workflows ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially winter months ke time. First step prioritize inspections hona chahiye.",True,PROCESS_INNOVATION,ENGINEERING,0.6361990259041644,ENGINEERING,0.6361990259041644,PROCESS_INNOVATION,0.1945119915019299,0.44168703440223456,False,0.60-0.70,0.40+
"Tehri Garhwal, Uttarakhand क्षेत्र में roads से जुड़ी समस्या सामने आई है। small businesses बताते हैं कि सेवा creates repeated delays और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।",True,PROCESS_INNOVATION,ENGINEERING,0.6334387317518344,ENGINEERING,0.6334387317518344,RESEARCH_REQUIRED,0.2671909737250172,0.3662477580268172,False,0.60-0.70,0.30-0.40
"A community report describes tanker dependence in Rudraprayag, Uttarakhand. Local employers say the service is hard to verify from available records, particularly during peak visitor period. The operating context is affected by paper-heavy workflows, which can result in greater exposure to avoidable risk. The immediate task is to reorganize collection or service routes and verify the outcome.",True,PROCESS_INNOVATION,ENGINEERING,0.6263466105198441,ENGINEERING,0.6263466105198441,PROCESS_INNOVATION,0.18682773882947717,0.4395188716903669,False,0.60-0.70,0.40+
"Dehradun, Uttarakhand क्षेत्र में accessibility से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा creates repeated delays और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।",True,PROCESS_INNOVATION,RESEARCH_REQUIRED,0.6129325438734444,RESEARCH_REQUIRED,0.6129325438734444,ENGINEERING,0.23491194741245922,0.3780205964609852,False,0.60-0.70,0.30-0.40
"Champawat, Uttarakhand क्षेत्र में habitat loss से जुड़ी समस्या सामने आई है। village representatives बताते हैं कि सेवा creates repeated delays और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर greater exposure to avoidable risk के रूप में पड़ सकता है, खासकर holiday period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और collect field evidence है।",True,ENGINEERING,RESEARCH_REQUIRED,0.6054826932596505,RESEARCH_REQUIRED,0.6054826932596505,PROCESS_INNOVATION,0.20891202846325405,0.39657066479639647,False,0.60-0.70,0.30-0.40
"Uttarkashi, Uttarakhand क्षेत्र में rural mobility से जुड़ी समस्या सामने आई है। caregivers बताते हैं कि सेवा works for some users but not others और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और pilot a monitoring process है।",True,ENGINEERING,RESEARCH_REQUIRED,0.5935507999124959,RESEARCH_REQUIRED,0.5935507999124959,PROCESS_INNOVATION,0.23216433325797628,0.3613864666545197,False,0.50-0.60,0.30-0.40
"Chamoli, Uttarakhand क्षेत्र में laboratory access से जुड़ी समस्या सामने आई है। patients बताते हैं कि सेवा becomes unreliable after disruption और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।",True,PROCESS_INNOVATION,ENGINEERING,0.5929666112937196,ENGINEERING,0.5929666112937196,RESEARCH_REQUIRED,0.22500421896677283,0.36796239232694683,False,0.50-0.60,0.30-0.40
"Community feedback from Chamoli points to forest fires. People say the service lacks timely status information, but the reason is not uniform: in this case, weak monitoring. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can reorganize collection or service routes.",True,RESEARCH_REQUIRED,ENGINEERING,0.5846610633910957,ENGINEERING,0.5846610633910957,PROCESS_INNOVATION,0.2549168884255311,0.3297441749655646,False,0.50-0.60,0.30-0.40
"Pauri Garhwal, Uttarakhand क्षेत्र में source segregation से जुड़ी समस्या सामने आई है। shopkeepers बताते हैं कि सेवा causes avoidable travel और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और repair the affected asset है।",True,PROCESS_INNOVATION,ENGINEERING,0.5844682151576075,ENGINEERING,0.5844682151576075,PROCESS_INNOVATION,0.28516736552870786,0.29930084962889963,False,0.50-0.60,0.20-0.30
"A community report describes irrigation-water access in Almora, Uttarakhand. Frontline workers say the service is reported inconsistently, particularly during harvest period. The operating context is affected by limited staffing, which can result in lost productive time. The immediate task is to map the service gap and verify the outcome.",True,RESEARCH_REQUIRED,PROCESS_INNOVATION,0.5760942996836138,PROCESS_INNOVATION,0.5760942996836138,RESEARCH_REQUIRED,0.24901962260928417,0.32707467707432963,False,0.50-0.60,0.30-0.40
"Dehradun, Uttarakhand क्षेत्र में school access से जुड़ी समस्या सामने आई है। local employers बताते हैं कि सेवा becomes unreliable after disruption और limited field data के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और repair the affected asset है।",True,PROCESS_INNOVATION,ENGINEERING,0.5682566705171361,ENGINEERING,0.5682566705171361,PROCESS_INNOVATION,0.25803707149432203,0.3102195990228141,False,0.50-0.60,0.30-0.40
"A community report describes urban heat in Nainital, Uttarakhand. Drivers say the service lacks timely status information, particularly during summer peak. The operating context is affected by fragmented records, which can result in longer waiting times. The immediate task is to prioritize inspections and verify the outcome.",True,PROCESS_INNOVATION,ENGINEERING,0.5681860321458864,ENGINEERING,0.5681860321458864,RESEARCH_REQUIRED,0.2182818047833696,0.3499042273625168,False,0.50-0.60,0.30-0.40
